Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Manufacture_segment
2,2013,62000,1,1,0,22.07,1199,73.9,5.0,5.0,4
4,2008,90000,4,1,2,19.7,796,46.3,5.0,1.25,1
7,2014,19698,4,1,0,25.4,624,37.5,4.0,1.53,1
3,2017,22033,1,1,0,25.32,1198,77.0,6.0,5.58,0
7,2014,35487,4,1,0,18.5,1197,82.9,5.0,4.74,1
1,2014,46374,4,0,0,14.62,1999,149.92,5.0,8.85,1
9,2016,52001,4,0,0,14.28,1798,138.03,5.0,10.11,1
0,2008,58005,1,1,2,14.9,1991,112.2,5.0,4.25,1
1,2012,70704,4,1,0,11.25,2694,163.7,7.0,10.95,1
6,2014,75000,1,1,0,24.4,1120,71.0,5.0,3.85,1
6,2012,75800,1,1,2,16.55,2498,105.0,6.0,5.5,0
7,2015,13648,1,0,0,17.11,1968,174.33,5.0,21.43,2
4,2014,52000,1,1,0,22.9,1248,74.0,5.0,4.25,1
8,2014,53000,1,1,0,17.8,1248,75.0,5.0,3.3,1
4,2013,65650,1,1,0,28.4,1248,74.0,5.0,3.85,1
2,2015,54000,4,1,3,18.9,1197,82.0,5.0,3.6,1
8,2015,39000,4,1,0,15.04,1598,103.2,5.0,3.99,4
7,2017,16542,4,1,0,25.17,799,53.3,5.0,3.3,4
8,2010,32000,4,1,0,20.36,1197,78.9,5.0,2.07,1
5,2010,121812,1,0,0,13.29,1995,147.6,5.0,7.75,1
5,2010,39300,4,1,0,18.2,998,67.1,5.0,2.25,1
9,2017,22000,1,1,0,13.68,2393,147.8,8.0,16.5,1
1,2010,72000,1,1,0,20.0,1399,68.0,5.0,2.75,0
4,2015,58000,4,0,0,11.74,1796,186.0,5.0,26.7,3
10,2011,65000,1,1,2,15.8,2148,170.0,5.0,10.0,3
2,2016,178000,1,1,0,25.0,1396,69.0,5.0,2.5,1
6,2012,65664,1,0,0,16.55,1968,140.0,5.0,13.5,2
9,2007,63000,4,0,2,16.4,1497,78.0,5.0,1.85,1
3,2019,15369,1,0,0,0.0,1950,194.0,5.0,35.67,3
10,2016,63000,1,1,0,24.52,1248,88.5,7.0,8.15,1
9,2018,13000,1,1,0,22.1,1396,88.7,5.0,10.5,1
9,2008,73000,4,0,0,8.5,4806,500.0,5.0,14.5,6
9,2015,55729,1,1,0,15.1,2179,140.0,7.0,9.65,0
7,2012,45178,4,0,0,16.95,1197,78.9,5.0,3.48,1
7,2015,56066,1,1,0,19.64,1461,108.5,5.0,6.92,1
3,2016,37300,4,0,2,16.5,1198,86.8,5.0,6.46,1
4,2014,56000,1,0,2,18.53,1968,187.74,5.0,29.5,2
6,2008,111111,1,1,0,17.8,1399,132.0,5.0,2.0,0
2,2006,230000,4,1,3,12.4,1998,132.0,8.0,4.5,1
5,2012,104000,1,1,0,12.8,2494,102.0,7.0,11.75,1
5,2005,87591,4,1,0,0.0,1086,74.0,5.0,1.3,1
6,2012,95100,1,1,0,22.9,1248,74.0,5.0,3.75,1
10,2017,70000,4,1,0,17.57,1193,88.7,5.0,4.5,1
7,2016,54944,4,1,0,18.0,1198,86.7,5.0,4.82,1
5,2012,70337,1,1,0,20.0,1399,68.0,5.0,2.8,0
6,2013,99638,1,1,0,23.2,1248,73.94,5.0,3.11,1
4,2009,52000,4,1,0,17.8,1497,117.3,5.0,3.25,1
4,2011,75000,1,0,2,16.73,1995,218.0,5.0,13.9,2
10,2009,95980,4,1,0,20.36,1197,78.9,5.0,2.25,1
1,2016,16000,4,1,0,18.9,1197,82.0,5.0,5.75,1
5,2007,73745,4,1,0,17.0,1086,86.7,5.0,2.1,1
9,2016,18949,4,1,0,17.8,1198,86.7,5.0,5.0,1
4,2014,107000,1,1,0,13.0,2982,168.5,7.0,16.5,1
3,2018,48367,1,0,0,17.68,1968,174.33,5.0,39.58,2
4,2013,57000,1,1,0,22.7,1498,89.84,5.0,5.5,0
4,2014,58000,1,1,0,15.1,2179,140.0,7.0,8.1,0
8,2015,30000,1,1,0,25.8,1498,98.6,5.0,3.5,1
8,2013,34212,1,1,0,22.07,1199,73.9,5.0,2.79,4
0,2010,70002,1,1,0,16.2,1493,110.0,5.0,3.45,1
1,2016,62000,4,1,0,18.9,998,67.1,5.0,4.45,1
4,2010,62001,4,1,0,15.26,1598,103.5,5.0,2.65,4
10,2011,78958,1,1,2,23.0,1396,90.0,5.0,3.8,1
9,2014,30180,4,1,0,18.5,1197,82.85,5.0,4.65,1
10,2017,32851,4,1,0,19.83,1198,67.0,7.0,3.95,1
8,2010,30000,1,0,0,14.94,2967,241.4,5.0,9.8,2
10,2009,66000,4,1,2,17.0,1197,80.0,5.0,2.7,1
3,2010,93850,4,1,0,14.0,796,35.0,5.0,2.41,1
0,2014,53000,4,1,0,17.71,1197,78.9,5.0,3.9,1
5,2011,78000,1,0,2,14.74,2993,270.9,5.0,24.0,2
4,2012,65000,1,1,2,16.0,2179,140.0,7.0,5.75,0
8,2014,40000,1,0,0,22.32,1582,126.32,5.0,5.25,1
9,2017,30000,1,0,0,11.36,2755,171.5,7.0,19.25,1
3,2017,38053,4,1,0,15.1,1196,73.0,5.0,3.91,1
1,2014,25500,4,1,0,25.4,624,37.5,4.0,2.15,1
9,2015,56087,1,0,0,22.69,1995,190.0,5.0,20.75,2
4,2010,71088,4,1,0,13.5,1799,130.0,5.0,3.35,1
0,2014,55000,1,1,0,12.99,2494,100.6,7.0,11.11,1
1,2014,32700,1,0,0,23.3,1984,150.0,5.0,20.0,4
3,2016,39882,4,0,0,19.15,1198,75.94,5.0,6.55,1
9,2009,128000,4,0,0,10.8,2497,215.0,5.0,7.0,2
9,2016,55000,1,1,0,24.3,1248,88.5,5.0,7.5,1
9,2005,102000,4,1,2,17.0,1086,107.3,5.0,0.85,1
10,2014,53753,1,0,2,15.0,2143,107.3,5.0,16.75,3
8,2018,10250,1,1,0,22.0,1582,126.2,5.0,10.95,1
10,2011,43874,4,1,0,18.9,998,67.1,5.0,2.45,1
3,2017,32684,4,0,0,21.9,624,37.48,4.0,3.23,1
8,2014,42000,1,1,0,12.05,2179,120.0,8.0,7.75,0
8,2009,28352,4,0,0,11.7,1796,178.0,5.0,9.35,3
10,2013,89900,0,1,0,26.6,998,58.16,5.0,3.25,1
1,2007,47700,4,1,2,10.8,2354,152.0,5.0,5.25,1
10,2015,55000,1,0,0,21.21,1498,103.2,5.0,7.25,4
7,2017,44285,4,1,0,20.73,1373,91.1,5.0,7.47,1
6,2016,54000,1,0,0,16.0,2179,140.0,7.0,13.25,0
3,2016,30232,4,1,0,21.1,1197,85.8,5.0,5.81,1
5,2014,88500,4,1,0,24.07,998,67.1,5.0,2.6,1
8,2017,13372,4,0,0,19.0,2996,362.07,2.0,54.0,3
7,2019,12645,4,0,0,17.0,1591,121.3,5.0,11.5,1
2,2010,94385,4,1,2,19.7,796,46.3,5.0,1.6,1
3,2015,31821,1,0,0,20.58,1995,143.0,5.0,17.22,2
9,2015,12000,4,0,0,19.0,1199,88.7,5.0,6.0,1
4,2012,88578,4,1,0,13.5,1799,130.0,5.0,3.95,1
7,2014,44965,1,0,0,19.27,2143,170.0,5.0,17.95,3
8,2014,45044,1,1,0,25.8,1498,98.6,5.0,3.7,1
7,2016,34204,4,1,0,22.0,1197,81.8,5.0,5.43,1
7,2008,80759,4,1,3,17.0,1086,171.0,5.0,1.67,1
3,2012,91235,1,1,0,11.5,2982,171.0,7.0,13.49,1
10,2014,38800,4,1,0,18.6,1199,76.8,5.0,2.85,0
2,2013,83000,1,1,0,21.14,1498,103.52,5.0,4.75,4
7,2018,41283,4,1,0,20.73,1373,91.1,5.0,9.9,1
9,2013,23000,4,0,0,11.05,2894,444.0,4.0,37.0,2
9,2014,48000,1,0,0,21.76,1995,190.0,5.0,26.5,2
3,2015,48214,1,0,0,17.11,1968,174.33,5.0,23.32,2
2,2016,35000,1,1,0,22.9,1248,74.0,5.0,6.25,1
8,2010,35277,4,0,0,7.81,5461,362.9,5.0,30.0,3
3,2016,54620,1,0,0,21.66,1498,103.52,5.0,9.86,4
10,2012,136997,1,0,0,17.2,1968,138.1,5.0,8.5,4
7,2019,14322,4,1,0,21.1,814,55.2,5.0,4.23,1
6,2012,65634,1,1,0,22.07,1199,73.9,5.0,3.5,4
8,2016,6000,4,1,0,20.63,1198,67.06,5.0,2.5,1
8,2013,33280,4,1,0,19.4,1198,86.8,5.0,2.39,1
4,2013,29000,4,0,0,14.8,1595,120.7,5.0,11.25,3
7,2015,42831,1,1,0,26.0,1498,98.6,5.0,7.11,1
0,2016,90000,1,1,0,12.99,2494,100.6,7.0,10.9,1
0,2017,24005,4,1,0,20.4,1197,81.8,5.0,6.2,1
9,2012,32792,1,1,0,15.1,2179,140.0,7.0,7.9,0
7,2014,147898,1,1,0,22.7,1498,89.84,5.0,4.42,0
9,2012,131765,1,1,0,13.0,2982,168.5,7.0,13.5,1
2,2013,65000,1,0,0,21.5,1498,108.5,5.0,6.25,4
6,2010,66123,1,1,2,20.0,1399,68.0,5.0,2.1,0
9,2015,41000,1,0,0,15.3,2993,258.0,5.0,45.0,2
3,2017,23550,1,0,0,19.27,2143,167.62,5.0,33.66,3
1,2012,45000,4,1,2,19.4,1198,86.8,5.0,3.65,1
4,2013,60000,4,1,0,20.36,1197,78.9,5.0,2.75,1
1,2016,44414,1,0,0,17.9,2143,170.0,5.0,42.5,3
8,2019,1000,4,1,0,18.9,1197,81.86,5.0,6.5,1
9,2012,62500,1,0,2,17.68,1968,174.33,5.0,19.0,2
9,2013,21000,4,0,2,14.4,1598,103.6,5.0,4.45,4
6,2017,8525,1,0,2,16.6,1998,112.0,5.0,23.0,4
1,2014,29000,1,1,0,22.54,1396,88.73,5.0,8.35,1
9,2014,40000,1,0,0,17.68,1968,174.33,5.0,22.95,2
6,2012,88000,1,1,0,25.44,936,57.6,5.0,1.5,0
7,2012,53537,4,0,0,13.7,1798,157.75,5.0,6.89,4
2,2006,216000,1,1,2,17.8,1399,68.0,5.0,1.45,0
5,2014,51000,1,0,0,22.48,1995,190.0,5.0,33.5,2
6,2007,118500,4,1,0,12.9,1598,102.5,5.0,1.25,0
5,2012,63000,1,1,0,22.07,1199,73.9,5.0,4.2,4
9,2015,25000,1,1,0,19.98,1461,108.5,8.0,6.75,4
1,2014,37382,1,0,0,13.0,2143,201.1,5.0,32.0,3
7,2017,24773,4,1,0,21.4,1197,83.1,5.0,7.5,1
4,2012,62000,1,1,0,22.32,1582,126.32,5.0,4.6,1
7,2017,52340,4,1,0,19.81,1086,68.05,5.0,4.04,1
7,2016,56739,1,1,0,15.4,1997,120.0,7.0,10.31,0
3,2018,36091,1,0,0,12.7,2179,187.7,5.0,55.76,2
2,2010,120000,1,1,0,20.0,1399,68.0,5.0,2.6,0
9,2016,33000,1,1,0,25.47,1248,88.5,7.0,8.5,1
0,2007,60006,4,1,0,0.0,1498,98.6,5.0,2.95,1
8,2014,52000,1,1,0,25.8,1498,98.6,5.0,3.5,1
6,2015,43571,4,1,0,20.36,1197,78.9,5.0,3.55,1
8,2013,50000,1,1,0,25.8,1498,98.6,5.0,3.25,1
5,2008,113000,1,1,0,17.5,1896,106.0,5.0,4.5,4
4,2014,90000,1,1,0,19.87,1461,83.8,5.0,5.35,4
2,2017,29000,1,1,2,17.45,1493,100.0,7.0,6.5,0
9,2016,20000,1,1,0,24.3,1248,88.5,5.0,9.0,1
7,2016,61012,4,1,0,18.6,1197,81.83,5.0,6.0,1
6,2009,87459,4,1,0,14.7,1390,85.0,5.0,2.75,4
10,2010,70500,4,1,0,15.64,1193,64.1,5.0,1.5,1
4,2015,64103,1,0,0,15.73,1968,174.33,5.0,19.9,2
9,2014,76000,4,0,0,14.7,1798,177.5,5.0,10.0,4
4,2014,104000,1,1,0,23.59,1364,67.06,5.0,3.0,1
8,2010,42001,4,1,0,16.1,1595,120.7,5.0,2.11,1
7,2014,37245,4,0,0,14.8,1595,120.7,5.0,11.96,3
8,2013,45000,1,1,0,27.4,1498,98.6,5.0,3.25,1
6,2012,117837,1,1,2,22.32,1582,126.32,5.0,4.75,1
9,2014,30000,1,1,0,20.46,1461,83.8,5.0,5.95,4
4,2015,27057,4,1,2,15.29,1591,121.3,5.0,8.15,1
9,2016,8500,4,0,0,20.51,998,67.0,5.0,4.22,1
8,2010,30500,4,0,0,11.74,1796,186.0,5.0,10.5,3
4,2012,56000,1,0,0,11.8,2967,246.7,5.0,45.0,2
10,2012,44000,4,1,2,19.81,1086,68.05,5.0,2.9,1
9,2017,10500,4,0,0,14.3,1598,103.52,5.0,8.9,4
5,2017,26000,4,0,0,14.67,1798,177.46,5.0,26.0,4
3,2018,25166,4,1,0,17.19,1197,81.86,5.0,8.22,1
8,2014,64000,1,1,2,25.8,1498,98.6,5.0,3.5,1
2,2004,61000,4,1,2,18.9,998,67.1,5.0,1.25,1
5,2013,107000,1,1,0,21.03,1461,65.0,5.0,3.7,0
3,2018,29161,1,0,0,19.27,2143,167.62,5.0,39.41,3
8,2013,32000,4,1,0,22.5,998,67.04,5.0,2.65,1
3,2015,46173,1,1,2,19.01,1461,108.5,5.0,8.92,1
4,2013,47000,1,1,0,17.8,1248,189.08,5.0,4.1,1
7,2017,26327,4,0,0,16.82,1998,189.08,4.0,35.67,4
1,2015,70436,1,1,0,0.0,1498,99.0,5.0,3.6,0
6,2007,200000,1,1,2,17.2,1396,53.5,5.0,0.85,1
7,2016,60813,4,1,2,18.6,1199,76.8,5.0,3.32,0
9,2012,45000,1,1,0,22.07,1199,73.9,5.0,3.6,4
5,2016,64000,1,1,0,22.9,1248,74.0,5.0,6.8,1
8,2012,41284,1,1,0,20.0,1399,68.05,5.0,2.5,0
7,2019,14165,1,0,0,11.36,2755,171.5,7.0,19.64,1
9,2011,67000,1,0,2,11.72,2199,194.3,7.0,7.0,1
8,2011,32572,4,1,0,17.4,1497,117.3,5.0,3.87,1
7,2018,14960,4,1,0,18.6,1197,81.83,5.0,6.27,1
7,2015,55980,1,0,0,19.27,2143,167.62,5.0,18.12,3
9,2013,74000,1,1,0,25.44,936,57.6,5.0,2.65,0
7,2015,56847,1,1,0,22.54,1396,88.73,5.0,7.2,1
3,2015,121374,1,1,0,12.99,2494,100.6,7.0,14.3,1
2,2013,52000,1,1,0,20.77,1248,88.76,7.0,6.9,1
9,2014,118000,1,1,0,12.8,2494,102.0,7.0,10.75,1
9,2007,72000,4,1,3,17.0,1086,117.3,5.0,0.95,1
7,2016,33915,4,1,0,17.8,1497,117.3,5.0,8.09,1
0,2014,82002,1,0,0,17.05,1995,184.0,5.0,18.5,2
9,2017,33000,1,1,0,24.0,1120,70.0,5.0,4.75,1
2,2016,34000,1,1,0,28.09,1248,88.5,5.0,8.45,1
8,2012,55000,1,1,0,20.5,1598,103.6,5.0,3.5,4
7,2006,160538,1,1,0,13.1,1493,82.0,5.0,1.8,1
6,2014,60000,1,1,2,19.91,1498,103.6,5.0,3.7,4
3,2017,49575,4,1,0,18.7,1199,88.7,5.0,7.17,1
6,2010,83000,4,1,0,19.81,1086,68.05,5.0,1.75,1
7,2018,51346,1,0,0,16.38,1995,183.0,5.0,21.99,1
10,2017,43000,1,1,0,13.68,2393,147.8,7.0,18.65,1
6,2011,35000,4,1,3,19.7,796,35.0,5.0,1.85,1
3,2017,27872,4,1,2,20.4,1197,81.8,5.0,5.95,1
9,2014,16514,4,1,0,18.9,1197,82.0,5.0,3.75,1
10,2012,120000,1,1,0,22.9,1248,74.0,5.0,3.75,1
5,2008,143275,1,1,0,22.0,1582,126.2,5.0,2.6,1
5,2006,99000,4,1,0,0.0,1086,80.0,5.0,1.75,1
9,2010,52000,4,1,0,17.0,1197,80.0,5.0,2.8,1
3,2017,29819,1,0,0,11.57,2987,254.79,5.0,61.29,3
1,2014,57000,1,1,2,15.8,2148,170.0,5.0,18.0,3
5,2014,88500,1,1,0,23.2,1248,73.94,5.0,4.35,1
1,2016,28000,1,1,0,19.67,1582,126.2,5.0,13.75,1
10,2010,67000,4,1,0,19.0,998,66.1,5.0,2.0,1
4,2016,26000,1,1,0,19.64,1461,108.45,5.0,10.0,4
4,2010,120000,1,1,0,17.8,1248,76.0,5.0,1.65,4
3,2017,51982,1,0,0,16.55,2993,258.0,5.0,45.77,2
1,2010,36000,4,1,2,20.36,1197,78.9,5.0,3.25,1
10,2016,47000,1,1,0,12.8,2494,102.0,7.0,12.8,1
9,2002,60000,4,1,3,17.3,993,60.0,5.0,0.55,1
5,2018,31025,1,1,0,28.4,1248,74.0,5.0,7.15,1
10,2013,105000,1,1,2,12.05,2179,120.0,8.0,7.0,0
10,2017,121900,1,1,0,22.95,1248,74.0,5.0,3.75,1
9,2017,22695,4,1,0,18.88,999,123.24,5.0,8.5,0
6,2012,73000,1,1,0,23.4,1248,74.0,5.0,4.35,1
7,2016,32227,4,1,0,22.74,796,47.3,5.0,3.26,1
6,2011,55000,4,1,0,17.0,1497,118.0,5.0,4.21,1
7,2018,11287,1,0,0,12.07,2967,241.4,7.0,70.36,2
9,2009,48000,1,0,2,17.0,1896,105.0,5.0,2.95,4
7,2012,54308,4,1,0,17.1,1591,121.3,5.0,4.28,1
6,2009,78442,4,0,0,16.8,1497,118.0,5.0,3.57,1
8,2013,46000,1,1,0,21.9,1396,88.8,5.0,3.11,1
3,2014,45051,4,0,0,15.0,1396,98.6,5.0,5.96,1
5,2011,69000,1,1,0,20.54,1598,103.6,5.0,4.7,4
0,2014,49000,4,1,0,17.4,1497,117.3,5.0,6.9,1
10,2018,45000,1,1,0,22.95,1248,74.0,5.0,5.25,1
10,2015,64000,1,0,0,18.48,1995,177.0,5.0,28.0,2
4,2009,60000,4,1,0,18.9,1061,67.0,5.0,1.35,1
4,2015,62178,4,1,0,18.2,1199,88.7,5.0,4.85,1
3,2012,58006,1,1,0,15.0,1896,105.0,5.0,6.7,4
5,2010,74000,4,1,0,20.36,1197,78.9,5.0,3.1,1
7,2015,77771,1,0,0,19.27,2143,170.0,5.0,18.64,3
10,2012,45275,4,1,0,20.36,1197,78.9,5.0,2.8,1
2,2016,48000,1,1,0,13.68,2393,147.8,7.0,20.25,1
7,2015,31652,1,0,0,17.68,1968,174.33,5.0,26.78,2
5,2010,109000,1,1,2,12.99,2494,100.6,7.0,8.26,1
9,2015,31978,4,1,0,16.47,1198,73.9,5.0,3.89,4
5,2011,70000,4,1,0,20.92,998,67.1,5.0,2.1,1
9,2017,15000,4,0,0,18.0,1497,117.3,5.0,12.69,1
3,2013,59138,1,1,0,17.0,1405,70.0,5.0,2.58,1
7,2014,61726,1,0,0,17.68,1968,174.33,5.0,20.77,2
4,2015,48000,1,0,0,17.9,2143,136.0,5.0,20.26,3
2,2006,58000,4,1,2,0.0,1086,67.04,5.0,1.5,1
8,2011,60020,1,1,0,17.8,1248,67.04,5.0,2.5,1
5,2014,77815,4,0,0,23.1,998,67.04,5.0,4.25,1
5,2017,29000,1,0,0,17.9,2143,201.15,5.0,57.0,3
4,2017,44000,1,0,0,12.7,2179,187.7,5.0,44.0,2
5,2011,108626,1,1,0,20.54,1598,103.6,5.0,3.65,4
5,2012,71791,4,1,0,14.0,796,35.0,5.0,2.05,1
7,2012,91931,4,1,0,18.5,1198,86.8,5.0,3.13,1
5,2000,158000,1,1,2,14.07,2956,83.1,7.0,1.5,1
10,2012,91183,1,1,0,18.0,1248,75.0,5.0,2.85,1
4,2012,65000,4,1,0,18.9,998,67.1,5.0,2.65,1
5,2015,88428,1,1,0,16.0,2179,140.0,7.0,10.6,0
10,2008,138000,1,1,2,17.1,1396,70.0,5.0,1.25,1
9,2018,18000,4,1,0,16.02,1373,93.7,7.0,8.25,1
9,2011,60000,4,0,0,11.7,2354,177.6,5.0,4.45,1
8,2012,48000,1,1,0,19.3,1248,73.9,5.0,3.7,1
5,2009,160000,1,1,0,17.8,1399,68.0,5.0,2.8,0
8,2008,40000,4,1,0,17.7,1497,78.0,5.0,1.8,1
7,2014,51495,1,0,0,17.68,1968,174.33,5.0,21.95,2
9,2011,30000,1,0,0,9.52,2993,313.0,4.0,49.0,2
3,2017,97430,1,0,0,14.75,2967,245.0,7.0,62.67,2
10,2008,42496,0,1,0,26.3,998,67.1,5.0,1.4,1
10,2012,83000,1,1,0,23.0,1396,90.0,5.0,5.5,1
1,2009,37000,4,0,3,16.95,1197,78.9,5.0,2.95,1
7,2016,28503,4,0,0,19.0,1199,88.7,5.0,6.86,1
5,2015,76496,1,1,0,25.2,1248,74.0,5.0,6.15,1
10,2011,79152,4,1,2,18.5,1197,82.85,5.0,3.3,1
8,2011,32000,4,1,0,16.47,1198,73.9,5.0,2.55,4
0,2009,35000,4,1,0,19.7,796,46.3,5.0,1.5,1
2,2004,105000,4,0,2,11.3,1794,125.0,5.0,2.5,1
2,2006,56000,4,1,2,19.7,796,46.3,5.0,1.4,1
10,2012,73000,1,1,0,21.12,1248,88.8,5.0,3.4,1
10,2012,38000,4,1,0,19.7,796,46.3,5.0,2.25,1
8,2013,775000,1,0,0,19.3,1968,141.0,5.0,7.5,4
8,2008,80000,4,0,0,11.3,1794,125.0,5.0,2.8,1
3,2016,24973,4,1,0,18.6,1197,81.83,5.0,7.66,1
2,2016,45000,1,1,0,24.3,1248,88.5,5.0,7.15,1
4,2010,87430,4,1,0,17.0,1497,118.0,5.0,3.5,1
5,2014,133944,1,1,2,18.0,1248,75.0,5.0,3.5,1
8,2013,57000,1,1,0,25.8,1498,98.6,5.0,3.45,1
3,2016,27904,4,1,0,21.1,814,55.2,5.0,3.55,1
7,2015,30717,1,0,2,21.76,1995,190.0,5.0,25.99,2
1,2012,80000,1,1,0,22.32,1582,126.32,5.0,5.25,1
0,2013,47304,1,1,0,21.02,1248,88.8,5.0,2.9,1
6,2005,100000,4,0,0,14.45,1984,227.0,5.0,2.05,4
10,2017,30000,4,1,0,24.07,998,67.1,5.0,3.75,1
9,2014,68000,1,1,0,22.7,1498,89.84,5.0,6.75,0
8,2011,21000,4,1,2,18.0,995,62.0,5.0,0.95,0
5,2017,21000,1,0,0,19.33,1999,177.0,5.0,52.0,2
6,2007,119000,4,1,3,13.1,1997,141.1,5.0,3.91,1
7,2019,13747,4,0,0,14.67,1798,177.46,5.0,27.3,4
2,2009,620000,4,1,0,20.36,1197,78.9,5.0,2.7,1
4,2013,70000,1,1,0,22.9,1248,74.0,5.0,3.5,1
9,2016,18000,4,0,0,18.5,1197,83.14,5.0,6.2,1
2,2011,83000,1,1,0,23.08,1461,63.1,5.0,2.75,1
9,2015,130000,1,1,0,23.4,1248,74.0,5.0,3.25,1
10,2012,63400,1,1,0,17.8,1399,67.0,5.0,3.25,0
8,2003,65000,4,1,0,17.3,993,60.0,5.0,0.65,1
10,2017,8350,4,1,0,13.8,1998,192.0,5.0,35.0,4
8,2014,45000,1,1,0,23.59,1364,67.05,5.0,3.25,1
8,2018,26200,4,1,0,24.7,796,47.3,5.0,2.9,1
1,2011,11000,4,1,3,18.9,796,47.0,5.0,2.9,1
1,2009,90000,1,0,2,11.0,2993,235.0,5.0,17.75,2
9,2015,74000,4,0,2,11.07,2496,179.5,5.0,8.25,1
3,2015,37081,4,0,0,18.9,1197,82.0,5.0,5.77,1
5,2017,39000,1,1,0,24.3,1248,88.5,5.0,9.49,1
9,2008,99000,1,0,3,12.07,2967,241.4,7.0,12.95,2
2,2015,38000,1,0,0,17.9,2143,136.0,5.0,20.0,3
2,2007,72000,4,1,3,16.1,796,37.0,4.0,1.0,1
2,2015,93000,1,1,2,20.45,1461,83.8,5.0,7.1,4
9,2017,5900,1,1,0,21.43,1364,87.2,5.0,16.5,1
2,2014,25000,1,1,0,15.8,2148,170.0,5.0,26.0,3
5,2010,68000,1,1,2,21.1,1248,73.9,5.0,3.2,1
7,2017,35676,4,0,0,16.0,1497,117.3,7.0,9.48,1
7,2015,74310,1,1,0,24.4,1120,71.0,5.0,4.0,1
6,2014,59364,1,0,0,14.21,2143,203.0,5.0,26.5,3
7,2014,41380,4,0,2,14.8,1595,120.7,5.0,11.77,3
1,2017,33900,1,0,0,15.0,2143,204.0,5.0,37.0,3
9,2016,28000,4,1,0,17.8,1497,117.3,5.0,8.75,1
5,2007,50958,4,1,0,17.0,1086,118.0,5.0,1.95,1
2,2011,93982,4,1,0,17.0,1497,118.0,5.0,3.75,1
10,2010,95000,4,1,0,16.2,1599,103.2,5.0,2.5,1
9,2017,9000,4,0,0,13.5,1999,246.74,5.0,34.5,2
4,2015,52516,4,1,0,18.0,1198,86.7,5.0,4.65,1
1,2015,20000,4,0,0,18.86,1598,122.0,4.0,32.0,4
3,2017,56451,1,0,0,13.5,2987,282.0,5.0,62.81,3
2,2014,37000,4,1,0,21.1,814,55.2,5.0,3.25,1
8,2014,17400,4,1,0,20.51,998,67.04,5.0,3.1,1
3,2011,90207,1,1,0,21.1,1248,73.9,5.0,3.91,1
2,2011,89616,1,0,0,16.07,1995,181.0,5.0,11.0,2
